GroundTruth     1attempt        2attempt        3attempt        4attempt        5attempt        6attempt        7attempt         
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
0               0               p               9               o               -               ;               l                
s               s               w               e               d               x               z               a                
4               4               5               r               3               e               f               t                
y               y               h               u               6               7               t               j                
4               4               3               r               e               5               d               f                
j               j               u               k               i               m               h               n                
1               1               q               2               a               w               3               e                
n               n               Key.space       h               b               m               j               g                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   /               =               ;                
j               j               k               u               i               m               h               n                
a               a               q               w               z               Key.shift       s               2                
m               m               ,               k               n               j               Key.space       l                
i               i               k               j               u               o               l               8                
e               e               s               w               d               3               x               r                
0               0               9               p               o               -               ;               l                
8               8               7               u               i               9               j               y                
3               3               e               4               w               2               s               d                
Key.enter       Key.enter       '               Key.shift_r     /               ;               p               =                
o               o               p               ;               0               l               9               i                
h               h               y               g               n               j               b               t                
m               m               ,               k               j               n               Key.space       i                
a               a               w               s               q               z               2               e                
h               h               n               b               g               y               j               Key.space        
g               g               t               b               h               f               v               y                
a               a               q               w               z               Key.shift       s               2                
w               w               s               2               e               a               q               3                
d               s               x               d               z               w               e               a                
9               9               8               o               0               i               u               7                
2               2               q               1               w               3               a               e                
Key.enter       Key.enter       '               Key.shift_r     Key.backspace   =               /               ;                
i               i               u               k               o               8               j               9                
m               m               ,               n               Key.space       j               k               h                
g               g               t               h               f               b               y               r                
r               r               f               t               5               4               d               e                
8               8               7               9               u               i               o               j                
e               e               3               4               w               d               s               r                
r               r               f               5               4               t               e               d                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
m               m               ,               k               j               n               Key.space       i                
e               e               d               s               w               3               r               x                
r               r               f               t               d               4               5               e                
n               n               Key.space       h               b               m               j               g                
a               a               z               q               w               Key.shift       s               2                
6               6               y               7               t               5               u               8                
9               9               8               0               o               i               u               7                
Key.enter       Key.shift_r     Key.enter       '               /               ;               .               p                
8               8               9               i               7               u               o               0                
3               3               e               2               4               w               s               q                
1               1               q               2               a               w               3               e                
m               m               ,               n               Key.space       j               k               h                
u               u               i               8               7               j               k               y                
s               s               d               e               x               w               c               z                
a               a               z               q               w               Key.shift       s               2                
s               s               d               x               e               w               z               c                
h               h               n               j               y               b               g               u                
i               i               k               o               u               j               8               l                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.shift       Key.shift       a               z               q               x               s               w                
G               g               h               b               t               y               f               v                
e               e               d               s               w               3               r               4                
e               e               d               s               w               3               r               4                
t               t               y               g               h               6               5               f                
h               h               b               g               n               y               Key.space       t                
a               a               q               w               z               Key.shift       2               s                
1               1               q               2               a               w               3               Key.shift        
4               4               5               r               3               e               f               t                
Key.enter       Key.enter       Key.backspace   Key.shift_r     '               =               -               p                
Key.shift       Key.shift       a               z               q               x               s               w                
M               m               ,               n               j               Key.space       k               h                
o               o               l               ;               p               k               i               0                
r               r               4               f               e               5               d               t                
e               e               d               4               3               r               s               w                
l               l               o               ;               k               p               i               .                
l               l               o               k               ;               .               i               ,                
8               8               9               7               i               u               o               j                
3               3               e               w               4               2               s               d                
4               4               5               r               3               e               f               d                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
t               t               r               f               g               5               y               6                
r               r               f               d               e               4               c               s                
i               i               u               o               8               k               9               j                
p               p               0               ;               -               o               '               =                
o               o               l               ;               p               k               i               0                
Key.shift       Key.shift       z               a               x               s               q               w                
D               d               s               x               c               e               f               r                
3               3               2               e               w               4               s               q                
1               1               q               2               a               w               3               Key.shift        
Key.enter       Key.shift_r     Key.enter       '               /               ;               .               p                
c               d               c               s               f               x               e               r                
Key.shift       Key.shift       z               a               x               q               s               w                
W               w               2               q               a               s               e               3                
c               c               v               f               d               x               g               r                
2               2               q               1               w               a               3               e                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
3               3               4               e               w               2               s               r                
Key.shift       Key.shift       z               a               x               q               s               w                
V               v               b               g               c               f               Key.space       h                
Key.shift       Key.shift       a               z               q               x               w               s                
P               p               ;               0               o               l               -               '                
T               t               g               f               r               y               h               5                
6               6               y               5               t               7               u               g                
9               9               0               o               8               i               p               u                
6               6               y               7               5               t               u               8                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
1               1               q               2               a               w               3               e                
5               5               t               6               r               4               y               f                
Key.shift       Key.shift       z               a               x               s               q               w                
F               f               c               r               v               d               g               t                
i               k               i               j               u               o               l               m                
f               f               g               r               v               t               c               b                
t               t               y               g               6               5               h               r                
e               e               d               s               w               3               r               4                
e               e               d               s               w               r               3               4                
n               n               m               j               h               Key.space       b               k                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
Key.shift       Key.shift       a               z               q               w               x               s                
M               m               ,               n               j               k               Key.space       h                
0               0               9               p               -               o               ;               =                
n               n               h               Key.space       b               j               m               g                
k               k               j               i               m               l               ,               u                
e               e               3               w               4               s               d               r                
y               y               h               6               t               u               g               7                
p               ;               p               o               l               '               0               -                
0               0               9               p               o               -               ;               l                
Key.enter       Key.shift_r     Key.enter       '               /               ;               Key.backspace   .                
Key.shift       Key.shift       a               z               q               x               s               w                
L               l               o               ;               k               p               i               .                
o               o               i               9               8               k               l               0                
r               r               f               d               4               e               5               t                
d               d               s               e               x               w               c               r                
v               v               b               g               c               f               Key.space       h                
a               a               q               Key.shift       z               w               s               2                
d               d               x               s               c               e               z               f                
a               a               z               q               w               Key.shift       s               2                
r               r               f               t               5               g               d               4                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
e               e               d               s               w               3               r               4                
r               r               f               t               5               4               d               g                
2               2               q               1               w               3               a               e                
3               3               2               e               4               w               s               q                
7               7               8               u               6               y               i               9                
Key.enter       Key.enter       Key.shift_r     '               /               ;               Key.backspace   =                
Key.shift       Key.shift       a               z               q               w               s               x                
R               r               f               5               t               4               d               e                
u               u               j               i               7               8               y               k                
a               a               q               w               z               Key.shift       s               2                
l               l               k               o               i               ,               ;               .                
y               y               h               t               g               6               u               j                
1               1               2               q               w               a               3               e                
8               8               7               9               u               i               o               0                
1               1               q               2               a               w               3               e                
6               6               y               5               t               7               g               u                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
1               1               q               2               a               w               3               e                
8               8               7               u               i               9               j               y                
Key.shift       Key.shift       a               z               q               1               w               x                
Y               y               t               6               h               g               u               7                
e               e               3               w               4               d               s               r                
a               a               q               w               z               s               2               Key.shift        
r               5               r               t               f               4               g               6                
s               s               x               d               z               w               e               a                
Key.shift       Key.shift       a               z               q               w               x               s                
v               v               b               c               g               f               Key.space       h                
o               o               l               ;               p               0               i               9                
k               k               i               l               j               m               ,               o                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   ;               =                
Key.shift       Key.shift       a               z               q               1               w               x                
M               m               ,               n               k               j               Key.space       l                
a               a               Key.shift       z               q               w               s               x                
r               r               f               d               4               e               t               5                
o               o               l               i               9               0               p               ;                
o               o               9               i               8               0               k               l                
n               n               Key.space       m               h               j               b               k                
p               ;               p               o               '               l               0               -                
a               a               Key.shift       q               z               w               1               s                
n               n               Key.space       h               b               m               j               g                
d               d               s               x               c               e               w               f                
a               a               q               Key.shift       z               w               s               2                
6               6               5               y               t               7               u               g                
Key.enter       Key.shift_r     Key.enter       '               /               ;               .               p                
Key.shift       Key.shift       a               q               z               1               w               s                
K               k               l               i               o               ,               j               m                
u               u               7               8               i               j               y               k                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
i               i               u               k               j               o               8               9                
;               ;               p               l               '               o               .               0                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               Key.shift_r      
l               l               ;               o               .               k               p               ,                
f               f               r               g               t               v               c               d                
e               3               4               2               e               5               w               r                
n               n               Key.space       h               m               j               b               g                
1               1               q               2               a               w               3               Key.shift        
1               1               q               2               a               w               3               e                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   /               =               ;                
Key.shift       Key.shift       a               z               q               w               x               s                
D               d               c               f               x               s               r               e                
e               e               d               s               w               3               r               4                
t               t               g               f               r               5               y               h                
r               f               r               d               t               c               g               e                
0               0               p               -               o               9               ;               =                
i               i               k               j               u               o               l               8                
t               t               g               y               f               r               5               h                
Key.shift       Key.shift       a               z               q               w               1               x                
R               r               f               d               t               4               5               e                
i               i               u               8               k               j               o               9                
v               v               b               g               f               c               Key.space       h                
e               e               d               s               3               w               r               4                
r               4               3               e               5               2               r               w                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.shift       Key.shift       a               z               q               x               w               s                
r               r               f               d               t               g               e               5                
e               d               e               s               w               x               r               3                
v               v               b               g               f               c               Key.space       h                
o               o               l               i               9               ;               0               p                
l               l               k               o               ,               .               i               ;                
v               v               b               g               c               f               Key.space       h                
e               e               3               w               s               d               4               r                
r               r               4               5               f               t               e               d                
1               1               q               2               a               w               3               Key.shift        
9               9               0               8               o               i               p               u                
7               7               8               u               i               y               6               9                
9               9               8               0               o               i               7               u                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
Key.shift       Key.shift       z               a               x               q               s               w                
E               e               s               w               d               3               x               r                
d               d               s               c               e               x               f               r                
w               w               s               e               2               a               3               q                
a               a               q               z               w               Key.shift       s               2                
r               r               f               t               g               d               5               4                
d               d               s               e               c               x               f               r                
w               s               w               e               d               3               x               a                
h               h               y               n               g               b               j               t                
1               1               2               q               w               a               3               e                
Key.enter       Key.enter       Key.backspace   Key.shift_r     '               =               -               /                
Key.shift       Key.shift       a               z               q               x               w               s                
Z               z               x               s               a               Key.shift       d               c                
a               a               Key.shift       z               q               w               s               2                
x               x               s               z               d               c               e               w                
Key.backspace   Key.backspace   =               Key.enter       -               '               Key.shift_r     p                
c               c               d               f               x               s               r               e                
h               h               y               n               j               g               b               u                
w               w               e               3               s               2               d               a                
2               2               1               q               3               w               a               e                
0               0               p               9               o               -               ;               l                
0               0               p               9               o               -               ;               l                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
Key.shift       Key.shift       a               z               q               x               w               s                
r               r               f               t               5               4               g               d                
e               e               s               w               d               3               4               r                
d               d               s               e               x               c               w               f                
6               6               y               5               7               t               u               8                
n               n               Key.space       h               b               m               j               g                
i               i               k               u               j               o               8               l                
n               n               h               Key.space       j               b               m               g                
e               e               s               d               w               3               x               r                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.shift       Key.shift       a               z               q               x               w               s                
P               p               ;               '               0               o               l               -                
o               o               0               9               p               l               ;               i                
i               i               u               8               k               j               o               9                
u               u               i               7               8               j               y               k                
y               y               h               t               6               g               u               7                
t               t               r               g               f               5               y               6                
r               r               f               4               t               5               d               e                
1               1               q               2               a               w               3               e                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
Key.shift       Key.shift       a               z               q               w               x               s                
E               e               d               r               s               4               3               f                
l               l               o               ;               k               .               p               i                
m               m               ,               n               j               k               Key.space       h                
s               s               x               z               d               w               e               a                
t               t               g               f               r               y               5               h                
r               r               f               4               d               e               5               t                
3               3               e               4               w               2               s               d                
3               3               e               4               w               2               s               d                
t               t               5               g               y               r               6               f                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
Key.shift       Key.shift       z               a               x               q               s               w                
X               x               c               d               s               z               f               e                
Key.shift       Key.shift       a               z               q               x               w               s                
C               c               x               d               v               f               s               r                
b               b               h               n               g               Key.space       v               t                
u               u               j               i               7               y               8               k                
r               r               f               5               t               4               g               d                
g               g               b               h               t               v               f               y                
0               0               p               -               ;               =               o               9                
8               8               7               9               u               i               o               0                
Key.enter       Key.enter       Key.shift_r     '               Key.backspace   =               /               ;                
Key.shift       Key.shift       a               z               q               w               1               x                
A               a               q               z               Key.shift       w               s               2                
v               v               b               g               f               c               Key.space       h                
s               d               s               e               x               w               c               r                
c               c               f               v               d               x               r               g                
e               e               d               s               w               3               r               4                
a               a               q               Key.shift       z               w               s               2                
7               7               8               u               6               y               i               9                
7               7               6               y               u               8               t               j                
Key.backspace   Key.backspace   =               -               Key.enter       '               p               0                
2               2               q               1               w               3               a               e                
2               2               q               1               w               a               3               e                
Key.enter       '               Key.enter       Key.shift_r     =               ;               p               Key.backspace    
Key.enter       '               Key.enter       Key.shift_r     ;               p               =               /                
Key.enter       Key.enter       Key.shift_r     Key.backspace   '               =               /               ;                
n               n               h               Key.space       m               j               b               k                
z               z               x               s               a               Key.shift       d               w                
2               2               w               3               q               e               1               a                
a               a               q               w               z               Key.shift       s               2                
Key.shift       Key.shift       a               z               q               w               x               s                
A               a               q               w               z               s               Key.shift       2                
w               w               a               q               2               s               e               3                
h               h               y               g               n               b               t               j                
,               ,               m               k               l               .               j               i                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
q               q               1               2               a               w               3               s                
Key.shift       Key.shift       a               z               q               x               w               s                
T               t               y               5               g               6               r               f                
a               a               w               q               z               s               2               Key.shift        
Key.shift       Key.shift       z               a               x               s               q               w                
W               w               s               a               e               2               q               3                
n               n               Key.space       h               m               b               j               g                
Key.shift       Key.shift       a               z               q               w               x               s                
C               c               v               f               x               d               r               s                
Key.shift       Key.shift       a               q               z               1               w               2                
Key.shift       a               Key.shift       z               q               w               s               x                
#               3               e               4               w               2               s               r                
6               6               y               5               t               7               u               g                
Key.enter       Key.shift_r     Key.enter       /               '               .               ;               p                
8               8               9               7               u               i               o               j                
k               k               j               i               m               l               ,               o                
Key.shift       Key.shift       z               a               x               q               s               w                
Key.shift       1               q               2               a               w               3               Key.shift        
&               7               8               u               6               y               i               9                
y               y               6               h               t               u               g               7                
p               p               ;               0               '               o               -               l                
t               t               g               5               y               r               f               6                
Key.shift       z               x               a               s               w               Key.shift       d                
F               f               r               g               t               v               c               d                
E               e               d               s               w               3               r               4                
Key.enter       Key.enter       Key.shift_r     '               /               Key.backspace   =               ;                
r               r               f               t               5               g               4               d                
z               z               s               x               a               w               d               e                
Key.shift       Key.shift       a               z               q               1               w               x                
Key.shift_r     Key.shift_r     Key.enter       '               /               .               ;               Key.backspace    
